Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
"France, 1774–1814",What were the causes and immediate outcomes of the 1789 Revolution?,The Ancien Régime: problems and policies of Louis XVI and Jacques Necker,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",What were the causes and immediate outcomes of the 1789 Revolution?,"Pressures for change (social, economic and political including the Enlightenment)",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",What were the causes and immediate outcomes of the 1789 Revolution?,The reaction of Louis XVI to attempts at reform,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",What were the causes and immediate outcomes of the 1789 Revolution?,"Responses to Louis XVI’s actions, e.g. Storming of the Bastille, March of the Women, Declaration of the Rights of Man, The August Decrees",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",Why were French governments unstable from 1790 to 1795?,Revolutionary and counter-revolutionary groups: their views and aims,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",Why were French governments unstable from 1790 to 1795?,Changes in government from 1790 to 1795,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",Why were French governments unstable from 1790 to 1795?,Economic problems,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",Why were French governments unstable from 1790 to 1795?,Foreign threats and the impact of war on France,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",Why was Napoleon Bonaparte able to overthrow the Directory in 1799?,The aims and rule of the Directory,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",Why was Napoleon Bonaparte able to overthrow the Directory in 1799?,"The reputation of, and opposition to, the Directory",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",Why was Napoleon Bonaparte able to overthrow the Directory in 1799?,The military reputation and political ambitions of Napoleon Bonaparte,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",Why was Napoleon Bonaparte able to overthrow the Directory in 1799?,The coup of 1799,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",What were Napoleon Bonaparte’s domestic aims and achievements from 1799 to 1814?,Napoleon’s initiatives as first consul,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",What were Napoleon Bonaparte’s domestic aims and achievements from 1799 to 1814?,The inauguration of the Empire,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",What were Napoleon Bonaparte’s domestic aims and achievements from 1799 to 1814?,"Nature and impact of reforms (legal, educational, social and financial)",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"France, 1774–1814",What were Napoleon Bonaparte’s domestic aims and achievements from 1799 to 1814?,Napoleon’s use of propaganda and other means of control,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",What were the causes of the Industrial Revolution?,The agricultural revolution,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",What were the causes of the Industrial Revolution?,"Development of capitalism: investment, trade and commerce, the slave trade",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",What were the causes of the Industrial Revolution?,Early mechanisation: steam engines and spinning machines,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",What were the causes of the Industrial Revolution?,Early developments in transport: canals and roads,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",Why was there a rapid growth of industrialisation after 1780?,Development of the factory system: steam power and machines,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",Why was there a rapid growth of industrialisation after 1780?,"Developments in transport: canals, railways and steam ships",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",Why was there a rapid growth of industrialisation after 1780?,"Raw materials, e.g. iron and coal",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",Why was there a rapid growth of industrialisation after 1780?,Growth of markets (domestic and international) and growth of free trade,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",Why was there a rapid growth of industrialisation after 1780?,"Growth of towns and impact on living conditions, e.g. housing and health",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",urbanisation result from industrialisation?,"Working conditions, e.g. child labour, hours, pay and safety",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",urbanisation result from industrialisation?,Impacts on different social classes,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",urbanisation result from industrialisation?,Government responses to the consequences of industrialisation: early moves towards regulation and control of working and living conditions,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",urbanisation result from industrialisation?,"Reactions to mechanisation and economic change, e.g. Luddites and Captain Swing riots",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",political change?,Demands for political reform including Chartists,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",political change?,"Origins of organised labour, e.g. trade unions and cooperative societies",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Industrial Revolution in Britain, 1750–1850",political change?,Government reaction to demands for change,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",What were the causes of the Revolutions in 1848–49?,The impact of Metternich’s System on the States of Germany,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",What were the causes of the Revolutions in 1848–49?,The influence of liberal ideas and the emergence of a middle class,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",What were the causes of the Revolutions in 1848–49?,Growth of nationalist ideas,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",What were the causes of the Revolutions in 1848–49?,The impact of the Zollverein,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",What were the causes of the Revolutions in 1848–49?,Social and economic problems in the 1840s,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",What were the consequences of the 1848–49 Revolutions?,Initial responses of the German States to the 1848–49 Revolutions,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",What were the consequences of the 1848–49 Revolutions?,The collapse of the Frankfurt Parliament,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",What were the consequences of the 1848–49 Revolutions?,Reassertion of Austrian power: the perceived ‘humiliation of Olmütz’,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",What were the consequences of the 1848–49 Revolutions?,Economic developments after 1849: the growth of industrialisation and the Zollverein,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",What were Bismarck’s intentions for Prussia and Germany from 1862 to 1866?,Reasons for Bismarck’s appointment as Minister President: his attitudes towards Liberalism and Nationalism,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",What were Bismarck’s intentions for Prussia and Germany from 1862 to 1866?,Bismarck’s impact on Prussian politics: relations with William I and the Landtag,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",What were Bismarck’s intentions for Prussia and Germany from 1862 to 1866?,"Relations with, and policies towards, Austria: war with Denmark (1864), Austria (1866)",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",What were Bismarck’s intentions for Prussia and Germany from 1862 to 1866?,Outcomes of the Austro–Prussian War: Treaty of Prague and the North German Confederation,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",How and why was the unification of Germany achieved by 1871?,Bismarck’s diplomacy towards France,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",How and why was the unification of Germany achieved by 1871?,The Hohenzollern candidature and the outbreak of war,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",How and why was the unification of Germany achieved by 1871?,Reasons for the Prussian victory in the Franco–Prussian War (1870–71),History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"Liberalism and nationalism in Germany, 1815–71",How and why was the unification of Germany achieved by 1871?,Creation of the German Empire (1871),History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Outline study,9489/2,105,60,60
"The Russian Revolution, 1894–1921",What were the causes and outcomes of the 1905 Revolution up to 1914?,"The nature of the Tsarist regime: pressures for change (social, economic and political) and the reaction of Nicholas II to them",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Document question,9489/1,75,40,40
"The Russian Revolution, 1894–1921",What were the causes and outcomes of the 1905 Revolution up to 1914?,"Key events of the Revolution, e.g. ‘Bloody Sunday’, wider risings and the October Manifesto",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Document question,9489/1,75,40,40
"The Russian Revolution, 1894–1921",What were the causes and outcomes of the 1905 Revolution up to 1914?,The reassertion of Tsarist authority: the Dumas and Stolypin’s reforms,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Document question,9489/1,75,40,40
"The Russian Revolution, 1894–1921",What were the causes and outcomes of the 1905 Revolution up to 1914?,The extent of opposition to the Tsarist rule,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Document question,9489/1,75,40,40
"The Russian Revolution, 1894–1921",What were the causes and outcomes of the 1905 Revolution up to 1914?,"Political, social and economic effects of the First World War, impact of military defeats",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Document question,9489/1,75,40,40
"The Russian Revolution, 1894–1921",What were the causes and immediate outcomes of the February Revolution in 1917?,Nicholas II as a war leader: implications of personal leadership of the war effort,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Document question,9489/1,75,40,40
