Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
1 Information representation,1.1 Data Representation,Show understanding of binary magnitudes and the difference between binary prefixes and decimal prefixes,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
1 Information representation,1.1 Data Representation,Show understanding of binary magnitudes and the difference between binary prefixes and decimal prefixes,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - Theory Fundamentals,9618/1,90,75,25
1 Information representation,1.1 Data Representation,Understand the difference between and use: kibi and kilo; mebi and mega; gibi and giga; tebi and tera,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
1 Information representation,1.1 Data Representation,Understand the difference between and use: kibi and kilo; mebi and mega; gibi and giga; tebi and tera,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - Theory Fundamentals,9618/1,90,75,25
1 Information representation,1.1 Data Representation,Show understanding of different number systems,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
1 Information representation,1.1 Data Representation,Show understanding of different number systems,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - Theory Fundamentals,9618/1,90,75,25
1 Information representation,1.1 Data Representation,"Use the binary, denary, hexadecimal number bases and Binary Coded Decimal (BCD) and one’s and two’s complement representation for binary numbers",Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
1 Information representation,1.1 Data Representation,"Use the binary, denary, hexadecimal number bases and Binary Coded Decimal (BCD) and one’s and two’s complement representation for binary numbers",Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - Theory Fundamentals,9618/1,90,75,25
1 Information representation,1.1 Data Representation,Convert an integer value from one number base/representation to another,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
1 Information representation,1.1 Data Representation,Convert an integer value from one number base/representation to another,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - Theory Fundamentals,9618/1,90,75,25
1 Information representation,1.1 Data Representation,Perform binary addition and subtraction,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
1 Information representation,1.1 Data Representation,Perform binary addition and subtraction,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - Theory Fundamentals,9618/1,90,75,25
1 Information representation,1.1 Data Representation,Perform binary addition and subtraction — Using positive and negative binary integers,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
1 Information representation,1.1 Data Representation,Perform binary addition and subtraction — Using positive and negative binary integers,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - Theory Fundamentals,9618/1,90,75,25
1 Information representation,1.1 Data Representation,Show understanding of how overflow can occur,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
1 Information representation,1.1 Data Representation,Show understanding of how overflow can occur,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - Theory Fundamentals,9618/1,90,75,25
1 Information representation,1.1 Data Representation,Describe practical applications where Binary Coded Decimal (BCD) and Hexadecimal are used,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
1 Information representation,1.1 Data Representation,Describe practical applications where Binary Coded Decimal (BCD) and Hexadecimal are used,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - Theory Fundamentals,9618/1,90,75,25
1 Information representation,1.1 Data Representation,"Show understanding of and be able to represent character data in its internal binary form, depending on the character set used — Students are expected to be familiar with ASCII (American Standard Code for Information Interchange), extended ASCII and Unicode. Students will not be expected to memorise any particular character codes",Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
1 Information representation,1.1 Data Representation,"Show understanding of and be able to represent character data in its internal binary form, depending on the character set used — Students are expected to be familiar with ASCII (American Standard Code for Information Interchange), extended ASCII and Unicode. Students will not be expected to memorise any particular character codes",Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - Theory Fundamentals,9618/1,90,75,25
1 Information representation,1.2 Multimedia – Graphics,Show understanding of how data for a bitmapped image are encoded,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
1 Information representation,1.2 Multimedia – Graphics,Show understanding of how data for a bitmapped image are encoded,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - Theory Fundamentals,9618/1,90,75,25
1 Information representation,1.2 Multimedia – Graphics,"Use and understand the terms: pixel, file header, image resolution, screen resolution, colour depth/bit depth",Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
1 Information representation,1.2 Multimedia – Graphics,"Use and understand the terms: pixel, file header, image resolution, screen resolution, colour depth/bit depth",Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - Theory Fundamentals,9618/1,90,75,25
1 Information representation,1.2 Multimedia – Graphics,Perform calculations to estimate the file size for a bitmap image,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
