Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost",1.1.1 fundamental economic problem of scarcity,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost",1.1.1 fundamental economic problem of scarcity,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost",1.1.1 fundamental economic problem of scarcity,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost",1.1.1 fundamental economic problem of scarcity,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost","1.1.2 need to make choices at all levels (individuals, firms, governments)",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost","1.1.2 need to make choices at all levels (individuals, firms, governments)",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost","1.1.2 need to make choices at all levels (individuals, firms, governments)",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost","1.1.2 need to make choices at all levels (individuals, firms, governments)",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost","1.1.3 nature and definition of opportunity cost, arising from choices",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost","1.1.3 nature and definition of opportunity cost, arising from choices",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost","1.1.3 nature and definition of opportunity cost, arising from choices",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost","1.1.3 nature and definition of opportunity cost, arising from choices",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost",1.1.4 basic questions of resource allocation • what to produce • how to produce • for whom to produce,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost",1.1.4 basic questions of resource allocation • what to produce • how to produce • for whom to produce,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost",1.1.4 basic questions of resource allocation • what to produce • how to produce • for whom to produce,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),"1.1 Scarcity, choice and opportunity cost",1.1.4 basic questions of resource allocation • what to produce • how to produce • for whom to produce,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,1.2.1 economics as a social science,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,1.2.1 economics as a social science,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,1.2.1 economics as a social science,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,1.2.1 economics as a social science,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,1.2.2 positive and normative statements (the distinction between facts and value judgements),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,1.2.2 positive and normative statements (the distinction between facts and value judgements),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,1.2.2 positive and normative statements (the distinction between facts and value judgements),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,1.2.2 positive and normative statements (the distinction between facts and value judgements),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,1.2.3 meaning of the term ceteris paribus,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,1.2.3 meaning of the term ceteris paribus,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,1.2.3 meaning of the term ceteris paribus,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,1.2.3 meaning of the term ceteris paribus,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,"1.2.4 importance of the time period (short run, long run, very long run)",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,"1.2.4 importance of the time period (short run, long run, very long run)",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,"1.2.4 importance of the time period (short run, long run, very long run)",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.2 Economic methodology,"1.2.4 importance of the time period (short run, long run, very long run)",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,"1.3.1 nature and definition of factors of production: land, labour, capital and enterprise",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,"1.3.1 nature and definition of factors of production: land, labour, capital and enterprise",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,"1.3.1 nature and definition of factors of production: land, labour, capital and enterprise",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,"1.3.1 nature and definition of factors of production: land, labour, capital and enterprise",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.2 difference between human capital and physical capital,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.2 difference between human capital and physical capital,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.2 difference between human capital and physical capital,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.2 difference between human capital and physical capital,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.3 rewards to the factors of production,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.3 rewards to the factors of production,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.3 rewards to the factors of production,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.3 rewards to the factors of production,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.4 division of labour and specialisation,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.4 division of labour and specialisation,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.4 division of labour and specialisation,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.3 Factors of production,1.3.4 division of labour and specialisation,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
