Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
Pure Mathematics 1,Quadratics,carry out the process of completing the square for a quadratic polynomial ax² + bx + c and use a completed square form,Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Pure Mathematics 1,9709/1,110,75,60
Pure Mathematics 1,Quadratics,carry out the process of completing the square for a quadratic polynomial ax² + bx + c and use a completed square form,Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1: Pure Mathematics 1,9709/1,110,75,30
Pure Mathematics 1,Quadratics,find the discriminant of a quadratic polynomial ax² + bx + c and use the discriminant,Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Pure Mathematics 1,9709/1,110,75,60
Pure Mathematics 1,Quadratics,find the discriminant of a quadratic polynomial ax² + bx + c and use the discriminant,Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1: Pure Mathematics 1,9709/1,110,75,30
Pure Mathematics 1,Quadratics,"solve quadratic equations, and quadratic inequalities, in one unknown",Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Pure Mathematics 1,9709/1,110,75,60
Pure Mathematics 1,Quadratics,"solve quadratic equations, and quadratic inequalities, in one unknown",Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1: Pure Mathematics 1,9709/1,110,75,30
Pure Mathematics 1,Quadratics,solve by substitution a pair of simultaneous equations of which one is linear and one is quadratic,Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Pure Mathematics 1,9709/1,110,75,60
Pure Mathematics 1,Quadratics,solve by substitution a pair of simultaneous equations of which one is linear and one is quadratic,Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1: Pure Mathematics 1,9709/1,110,75,30
Pure Mathematics 1,Quadratics,recognise and solve equations in x which are quadratic in some function of x.,Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Pure Mathematics 1,9709/1,110,75,60
Pure Mathematics 1,Quadratics,recognise and solve equations in x which are quadratic in some function of x.,Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1: Pure Mathematics 1,9709/1,110,75,30
Pure Mathematics 1,Functions,"understand the terms function, domain, range, one-one function, inverse function and composition of functions",Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Pure Mathematics 1,9709/1,110,75,60
Pure Mathematics 1,Functions,"understand the terms function, domain, range, one-one function, inverse function and composition of functions",Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1: Pure Mathematics 1,9709/1,110,75,30
Pure Mathematics 1,Functions,"identify the range of a given function in simple cases, and find the composition of two given functions",Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Pure Mathematics 1,9709/1,110,75,60
Pure Mathematics 1,Functions,"identify the range of a given function in simple cases, and find the composition of two given functions",Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1: Pure Mathematics 1,9709/1,110,75,30
Pure Mathematics 1,Functions,"determine whether or not a given function is one-one, and find the inverse of a one-one function in simple cases",Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Pure Mathematics 1,9709/1,110,75,60
