Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,The role and value of history in modern society,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,"Wars, conflicts and terrorism",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,"Political systems, leadership, nationalism and forms of government",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,International co-operation,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,Charity and aid,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,Justice and the justice system; prison and rehabilitation,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,The role of the individual in society,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,"Family, marriage and partnerships, social pressure, class and social attitudes",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,Globalisation and its impacts,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,Wealth and equality in society,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,Population and migration,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,Education,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,The role of the state in people’s welfare,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,Sport and leisure,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,Work and employment,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,Industry and commerce,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,"Freedom of speech, thought and action",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,Human rights,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,Animal welfare,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"1 Economic, historical, moral, political and social issues",Suggested areas to explore,"Matters of conscience, faith and tolerance",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,Medical and scientific advances and their ethics,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,The testing and provision of medicine,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,"Diet, health education and provision of healthcare",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,Space exploration and its associated industry,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,"Information and communications technology, including artificial intelligence (AI)",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,The use of technology in daily life,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,Surveillance and privacy,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,Environmental concerns,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,Sustainable development,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,"Disaster events, including mitigation and management",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,Rural and urban concerns,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,Food and water security,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,"Transport, travel and tourism",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"2 Science, including its history, philosophy, ethics, general principles and applications; environmental issues; technology and mathematics",Suggested areas to explore,The uses and applications of economics and mathematics,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Literature,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Non-fiction writing,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Language and culture,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,"Performing arts, music and entertainment",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,"Visual arts, including design and fashion",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Arts institutions and venues,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Traditional arts and crafts,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Print and digital media,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Social media,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Advertising,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
"3 Literature, language, the arts, crafts, and the media",Suggested areas to explore,Censorship and freedom of the media and the arts,English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
Component 1 Essay skills,Selection and application of information,"Identify and understand the key terms in the question, and understand the scope and any restrictions in the question.",English General Paper,Cambridge Assessment International Education,Cambridge International AS Level,AS Level,Component 1 Essay,8021/1,75,40,50
