Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
1 Hydrology and fluvial geomorphology,1.1 The drainage basin system,"Outputs: evaporation, evapotranspiration and river discharge.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.1 The drainage basin system,"Outputs: evaporation, evapotranspiration and river discharge.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.1 The drainage basin system,"Stores: interception, soil water, surface water, ground water, and channel storage.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.1 The drainage basin system,"Stores: interception, soil water, surface water, ground water, and channel storage.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.1 The drainage basin system,"Flows: above ground – throughfall, stemflow, overland flow, and channel flow; below ground – infiltration, percolation, throughflow, groundwater, and baseflow.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.1 The drainage basin system,"Flows: above ground – throughfall, stemflow, overland flow, and channel flow; below ground – infiltration, percolation, throughflow, groundwater, and baseflow.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.1 The drainage basin system,"Underground water: water tables, ground water, recharge, and springs.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.1 The drainage basin system,"Underground water: water tables, ground water, recharge, and springs.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.2 Discharge relationships within drainage basins,Components of hydrographs (storm and annual).,Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.2 Discharge relationships within drainage basins,Components of hydrographs (storm and annual).,Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.2 Discharge relationships within drainage basins,Influences on hydrographs.,Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.2 Discharge relationships within drainage basins,Influences on hydrographs.,Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.2 Discharge relationships within drainage basins,"Climate: precipitation type and intensity, temperature, evaporation, transpiration, evapotranspiration, and antecedent moisture.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.2 Discharge relationships within drainage basins,"Climate: precipitation type and intensity, temperature, evaporation, transpiration, evapotranspiration, and antecedent moisture.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.2 Discharge relationships within drainage basins,"Drainage basin characteristics: size and shape, drainage density, porosity and permeability of soils, rock type, slopes, vegetation type, and land use.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.2 Discharge relationships within drainage basins,"Drainage basin characteristics: size and shape, drainage density, porosity and permeability of soils, rock type, slopes, vegetation type, and land use.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.3 River channel processes and landforms,"Erosion: abrasion/corrasion, solution, cavitation, and hydraulic action.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.3 River channel processes and landforms,"Erosion: abrasion/corrasion, solution, cavitation, and hydraulic action.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.3 River channel processes and landforms,"Load transport: traction, saltation, suspension, and solution.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.3 River channel processes and landforms,"Load transport: traction, saltation, suspension, and solution.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.3 River channel processes and landforms,Deposition and sedimentation: the Hjulström curve.,Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.3 River channel processes and landforms,Deposition and sedimentation: the Hjulström curve.,Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.3 River channel processes and landforms,"River flow: velocity and discharge, patterns of flow (laminar, turbulent and helicoidal), and thalweg.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.3 River channel processes and landforms,"River flow: velocity and discharge, patterns of flow (laminar, turbulent and helicoidal), and thalweg.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.3 River channel processes and landforms,"Channel types: straight, braided, and meandering.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.3 River channel processes and landforms,"Channel types: straight, braided, and meandering.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.3 River channel processes and landforms,"Landforms: meander (river cliffs, point bars, oxbow lakes), riffle and pool sequences, waterfalls, gorges, bluffs, floodplains, levées, and deltas.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.3 River channel processes and landforms,"Landforms: meander (river cliffs, point bars, oxbow lakes), riffle and pool sequences, waterfalls, gorges, bluffs, floodplains, levées, and deltas.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.4 The human impact,"Modifications to catchment flows and stores and to channel flows by land-use changes (deforestation, afforestation, urbanisation), abstraction and water storage.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.4 The human impact,"Modifications to catchment flows and stores and to channel flows by land-use changes (deforestation, afforestation, urbanisation), abstraction and water storage.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.4 The human impact,The causes and impacts of river floods; prediction of flood risk and recurrence intervals.,Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.4 The human impact,The causes and impacts of river floods; prediction of flood risk and recurrence intervals.,Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.4 The human impact,Forecasts and warnings.,Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.4 The human impact,Forecasts and warnings.,Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.4 The human impact,"Hard engineering – dams, straightening, levées and diversion spillways.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.4 The human impact,"Hard engineering – dams, straightening, levées and diversion spillways.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
1 Hydrology and fluvial geomorphology,1.4 The human impact,"Soft engineering – floodplain and drainage basin management, wetland and river bank conservation and river restoration.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Core Physical Geography,9696/1,90,60,50
1 Hydrology and fluvial geomorphology,1.4 The human impact,"Soft engineering – floodplain and drainage basin management, wetland and river bank conservation and river restoration.",Geography,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Core Physical Geography,9696/1,90,60,25
