Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
Financial accounting (AS Level),Types of business entity,the different types of business entity: sole trader; partnership; limited company (including public limited company (plc)),Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Types of business entity,the different types of business entity: sole trader; partnership; limited company (including public limited company (plc)),Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),Types of business entity,the different types of business entity: sole trader; partnership; limited company (including public limited company (plc)),Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),Types of business entity,the different types of business entity: sole trader; partnership; limited company (including public limited company (plc)),Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),Types of business entity,the advantages and disadvantages of these types of business entity,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Types of business entity,the advantages and disadvantages of these types of business entity,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
Financial accounting (AS Level),Types of business entity,the advantages and disadvantages of these types of business entity,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,72
Financial accounting (AS Level),Types of business entity,the advantages and disadvantages of these types of business entity,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 Fundamentals of Accounting,9706/2,105,90,36
Financial accounting (AS Level),Types of business entity,sources of finance and methods of funding for these types of business entity including: loans (secured and unsecured); bank overdrafts; payment by instalments; rental/leasing as an alternative to purchase; trade credit; sources of finance for limited companies as in 1.5.4,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9706/1,60,30,28
Financial accounting (AS Level),Types of business entity,sources of finance and methods of funding for these types of business entity including: loans (secured and unsecured); bank overdrafts; payment by instalments; rental/leasing as an alternative to purchase; trade credit; sources of finance for limited companies as in 1.5.4,Accounting,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9706/1,60,30,14
