Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
Biological,Main assumptions of the biological,"Behaviour, cognitions and emotions can be explained in terms of the working of the brain and the effect of hormones, genetics and evolution.",Psychology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,"Paper 1: Approaches, Issues and Debates",9990/1,90,60,50
Biological,Main assumptions of the biological,Similarities and differences between people can be understood in terms of biological factors and their interaction with other factors.,Psychology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,"Paper 1: Approaches, Issues and Debates",9990/1,90,60,50
Biological,Dement and Kleitman (sleep and dreams),the background to the study,Psychology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,"Paper 1: Approaches, Issues and Debates",9990/1,90,60,50
Biological,Dement and Kleitman (sleep and dreams),the aim(s) of the study,Psychology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,"Paper 1: Approaches, Issues and Debates",9990/1,90,60,50
Biological,Dement and Kleitman (sleep and dreams),"the procedure of the study, including all methodology as appropriate, such as the research methods used, sample size and demographics [if known] and sampling technique [if known], experimental design, controls, question types, research technique for data collection and measured and manipulated variables",Psychology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,"Paper 1: Approaches, Issues and Debates",9990/1,90,60,50
Biological,Dement and Kleitman (sleep and dreams),the ethical issues relating to the study,Psychology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,"Paper 1: Approaches, Issues and Debates",9990/1,90,60,50
Biological,Dement and Kleitman (sleep and dreams),"the results of the study, including the main/significant quantitative findings, the main qualitative findings and how they are or could be represented and interpreted",Psychology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,"Paper 1: Approaches, Issues and Debates",9990/1,90,60,50
Biological,Dement and Kleitman (sleep and dreams),the conclusion(s) the psychologist(s) drew or that could be drawn from the study,Psychology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,"Paper 1: Approaches, Issues and Debates",9990/1,90,60,50
Biological,Dement and Kleitman (sleep and dreams),the strengths and weaknesses of all elements of the study.,Psychology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,"Paper 1: Approaches, Issues and Debates",9990/1,90,60,50
Biological,Dement and Kleitman (sleep and dreams),describe and evaluate the methodology used,Psychology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,"Paper 1: Approaches, Issues and Debates",9990/1,90,60,50
Biological,Dement and Kleitman (sleep and dreams),consider how the study relates to psychological issues and debates.,Psychology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,"Paper 1: Approaches, Issues and Debates",9990/1,90,60,50
Biological,Dement and Kleitman (sleep and dreams),the psychology being investigated includes: sleep; dreaming; ultradian rhythms,Psychology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,"Paper 1: Approaches, Issues and Debates",9990/1,90,60,50
Biological,Hassett et al. (monkey toy preferences),the background to the study,Psychology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,"Paper 1: Approaches, Issues and Debates",9990/1,90,60,50
Biological,Hassett et al. (monkey toy preferences),the aim(s) of the study,Psychology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,"Paper 1: Approaches, Issues and Debates",9990/1,90,60,50
