Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
Further Pure Mathematics 1,Roots of polynomial equations,recall and use the relations between the roots and coefficients of polynomial equations,Further Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Further Pure Mathematics 1,9231/1,120,75,60
Further Pure Mathematics 1,Roots of polynomial equations,use a substitution to obtain an equation whose roots are related in a simple way to those of the original equation,Further Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Further Pure Mathematics 1,9231/1,120,75,60
Further Pure Mathematics 1,Rational functions and graphs,"sketch graphs of simple rational functions, including the determination of oblique asymptotes, in cases where the degree of the numerator and the denominator are at most 2",Further Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Further Pure Mathematics 1,9231/1,120,75,60
Further Pure Mathematics 1,Rational functions and graphs,"understand and use relationships between the graphs of y = f(x), y² = f(x), y = 1/f(x), y = f(|x|) and y = |f(x)|",Further Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Further Pure Mathematics 1,9231/1,120,75,60
Further Pure Mathematics 1,Summation of series,"use the standard results for Σr, Σr², Σr³ to find related sums",Further Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Further Pure Mathematics 1,9231/1,120,75,60
Further Pure Mathematics 1,Summation of series,use the method of differences to obtain the sum of a finite series,Further Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Further Pure Mathematics 1,9231/1,120,75,60
Further Pure Mathematics 1,Summation of series,"recognise, by direct consideration of a sum to n terms, when a series is convergent, and find the sum to infinity in such cases",Further Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Further Pure Mathematics 1,9231/1,120,75,60
Further Pure Mathematics 1,Matrices,"carry out operations of matrix addition, subtraction and multiplication, and recognise the terms zero matrix and identity (or unit) matrix",Further Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Further Pure Mathematics 1,9231/1,120,75,60
Further Pure Mathematics 1,Matrices,"recall the meaning of the terms ‘singular’ and ‘non-singular’ as applied to square matrices and, for 2 × 2 and 3 × 3 matrices, evaluate determinants and find inverses of non-singular matrices",Further Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Further Pure Mathematics 1,9231/1,120,75,60
Further Pure Mathematics 1,Matrices,"understand and use the result, for non-singular matrices, (AB)⁻¹ = B⁻¹A⁻¹",Further Mathematics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1: Further Pure Mathematics 1,9231/1,120,75,60
