Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
Business and its environment,Enterprise,1.1.1 The nature of business activity: the purpose of business activity,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,1.1.1 The nature of business activity: the purpose of business activity,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,"1.1.1 The nature of business activity: the factors of production needed for business activity: land, labour, capital and enterprise",Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,"1.1.1 The nature of business activity: the factors of production needed for business activity: land, labour, capital and enterprise",Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,1.1.1 The nature of business activity: the concept of adding value,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,1.1.1 The nature of business activity: the concept of adding value,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,"1.1.1 The nature of business activity: the nature of economic activity, the problem of choice and opportunity cost",Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,"1.1.1 The nature of business activity: the nature of economic activity, the problem of choice and opportunity cost",Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,1.1.1 The nature of business activity: the dynamic business environment,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,1.1.1 The nature of business activity: the dynamic business environment,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,1.1.1 The nature of business activity: why businesses succeed or fail,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,1.1.1 The nature of business activity: why businesses succeed or fail,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,"1.1.1 The nature of business activity: differences between local, national, international and multinational businesses",Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,"1.1.1 The nature of business activity: differences between local, national, international and multinational businesses",Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,1.1.2 The role of entrepreneurs and intrapreneurs: the qualities entrepreneurs and intrapreneurs need for success,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,1.1.2 The role of entrepreneurs and intrapreneurs: the qualities entrepreneurs and intrapreneurs need for success,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,1.1.2 The role of entrepreneurs and intrapreneurs: the role of entrepreneurship in creating and starting up a business,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,1.1.2 The role of entrepreneurs and intrapreneurs: the role of entrepreneurship in creating and starting up a business,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,1.1.2 The role of entrepreneurs and intrapreneurs: the role of intrapreneurship in the ongoing success of a business,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,1.1.2 The role of entrepreneurs and intrapreneurs: the role of intrapreneurship in the ongoing success of a business,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,1.1.2 The role of entrepreneurs and intrapreneurs: barriers to entrepreneurship,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,1.1.2 The role of entrepreneurs and intrapreneurs: barriers to entrepreneurship,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,1.1.2 The role of entrepreneurs and intrapreneurs: business risk and uncertainty,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,1.1.2 The role of entrepreneurs and intrapreneurs: business risk and uncertainty,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,1.1.2 The role of entrepreneurs and intrapreneurs: the role of business enterprise in the development of a country,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,1.1.2 The role of entrepreneurs and intrapreneurs: the role of business enterprise in the development of a country,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,1.1.3 Business plans: the meaning and purpose of business plans,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,1.1.3 Business plans: the meaning and purpose of business plans,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,1.1.3 Business plans: the key elements of business plans,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,1.1.3 Business plans: the key elements of business plans,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Enterprise,1.1.3 Business plans: the benefits and limitations of business plans,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Enterprise,1.1.3 Business plans: the benefits and limitations of business plans,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Business structure,"1.2.1 Economic sectors: the primary, secondary, tertiary and quaternary sectors and businesses within those sectors",Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Business structure,"1.2.1 Economic sectors: the primary, secondary, tertiary and quaternary sectors and businesses within those sectors",Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Business structure,1.2.1 Economic sectors: the public and private sectors and businesses within those sectors,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Business structure,1.2.1 Economic sectors: the public and private sectors and businesses within those sectors,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
Business and its environment,Business structure,1.2.1 Economic sectors: the reasons for and consequences of the changing relative importance of these sectors,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Business Concepts 1,9609/1,75,40,40
Business and its environment,Business structure,1.2.1 Economic sectors: the reasons for and consequences of the changing relative importance of these sectors,Business,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - Business Concepts 2,9609/2,90,60,60
