Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
Information representation,Data Representation,Show understanding of binary magnitudes and the difference between binary prefixes and decimal prefixes,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Data Representation,"Understand the difference between and use: kibi and kilo, mebi and mega, gibi and giga, tebi and tera",Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Data Representation,Show understanding of different number systems,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Data Representation,"Use the binary, denary, hexadecimal number bases and Binary Coded Decimal (BCD) and one's and two's complement representation for binary numbers",Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Data Representation,Convert an integer value from one number base/ representation to another,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Data Representation,Perform binary addition and subtraction,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Data Representation,Using positive and negative binary integers,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Data Representation,Show understanding of how overflow can occur,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Data Representation,Describe practical applications where Binary Coded Decimal (BCD) and Hexadecimal are used,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Data Representation,"Show understanding of and be able to represent character data in its internal binary form, depending on the character set used",Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Data Representation,"Students are expected to be familiar with ASCII (American Standard Code for Information Interchange), extended ASCII and Unicode",Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Multimedia Graphics,Show understanding of how data for a bitmap image are encoded,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Multimedia Graphics,"Use and understand the terms: pixel, file header, image resolution, screen resolution, colour depth/ bit depth",Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Multimedia Graphics,Perform calculations to estimate the file size for a bitmap image,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Multimedia Graphics,Show understanding of the effects of changing elements of a bitmap image on the image quality and file size,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Multimedia Graphics,Show understanding of how data for a vector graphic are encoded,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Multimedia Graphics,"Use the terms: drawing object, property, drawing list",Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Multimedia Graphics,Justify the use of a bitmap image or a vector graphic for a given task,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Sound,Show understanding of how sound is represented and encoded,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Sound,"Use the terms: sampling, sampling rate, sampling resolution, analogue and digital data",Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Sound,Show understanding of the impact of changing the sampling rate and resolution,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Sound,Including the impact on file size and accuracy,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Compression,Show understanding of the need for and examples of the use of compression,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Compression,Show understanding of lossy and lossless compression and justify the use of a method in a given situation,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Compression,"Show understanding of how a text file, bitmap image, vector graphic and sound file can be compressed",Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Information representation,Compression,Including the use of run-length encoding (RLE),Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Communication,Networks including the internet,Show understanding of the purpose and benefits of networking devices,Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
Communication,Networks including the internet,Show understanding of the characteristics of a LAN (local area network) and a WAN (wide area network),Computer Science,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - Theory Fundamentals,9618/1,90,75,50
