Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
Atomic structure,Particles in the atom and atomic radius,Understand that atoms are mostly empty space surrounding a very small dense nucleus that contains protons and neutrons; electrons are found in shells in the empty space around the nucleus,Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9701/1,75,40,31
Atomic structure,Particles in the atom and atomic radius,Understand that atoms are mostly empty space surrounding a very small dense nucleus that contains protons and neutrons; electrons are found in shells in the empty space around the nucleus,Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9701/2,75,60,46
Atomic structure,Particles in the atom and atomic radius,"Identify and describe protons, neutrons and electrons in terms of their relative charges and relative masses",Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9701/1,75,40,31
Atomic structure,Particles in the atom and atomic radius,"Identify and describe protons, neutrons and electrons in terms of their relative charges and relative masses",Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9701/2,75,60,46
Atomic structure,Particles in the atom and atomic radius,Understand the terms atomic and proton number; mass and nucleon number,Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9701/1,75,40,31
Atomic structure,Particles in the atom and atomic radius,Understand the terms atomic and proton number; mass and nucleon number,Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9701/2,75,60,46
Atomic structure,Particles in the atom and atomic radius,Describe the distribution of mass and charge within an atom,Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9701/1,75,40,31
Atomic structure,Particles in the atom and atomic radius,Describe the distribution of mass and charge within an atom,Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9701/2,75,60,46
Atomic structure,Particles in the atom and atomic radius,"Describe the behaviour of beams of protons, neutrons and electrons moving at the same velocity in an electric field",Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9701/1,75,40,31
Atomic structure,Particles in the atom and atomic radius,"Describe the behaviour of beams of protons, neutrons and electrons moving at the same velocity in an electric field",Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9701/2,75,60,46
Atomic structure,Particles in the atom and atomic radius,"Determine the numbers of protons, neutrons and electrons present in both atoms and ions given atomic or proton number, mass or nucleon number and charge",Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9701/1,75,40,31
